	country	region	fauna_count	nextstrain_count	n_seqs_unpublished
0	united_states	north_america	41.0	35.0	0.0
1	bermuda	north_america	0.0	0.0	0.0
2	mexico	north_america	17.0	17.0	0.0
3	belize	central_america	0.0	0.0	0.0
4	guatemala	central_america	3.0	3.0	0.0
5	honduras	central_america	23.0	23.0	0.0
6	el_salvador	central_america	1.0	1.0	0.0
7	nicaragua	central_america	8.0	8.0	0.0
8	costa_rica	central_america	0.0	0.0	0.0
9	panama	central_america	4.0	4.0	0.0
10	bahamas	caribbean	0.0	0.0	0.0
11	cuba	caribbean	1.0	1.0	1.0
12	turks_and_caicos	caribbean	0.0	0.0	0.0
13	cayman_islands	caribbean	0.0	0.0	0.0
14	jamaica	caribbean	5.0	4.0	0.0
15	haiti	caribbean	10.0	10.0	6.0
16	dominican_republic	caribbean	0.0	0.0	0.0
17	puerto_rico	caribbean	6.0	6.0	0.0
18	usvi	caribbean	31.0	31.0	0.0
19	bvi	caribbean	0.0	0.0	0.0
20	anguilla	caribbean	0.0	0.0	0.0
21	saint_martin	caribbean	0.0	0.0	0.0
22	sint_maarten	caribbean	0.0	0.0	0.0
23	saint_barthelemy	caribbean	1.0	1.0	1.0
24	bonaire_sint_eustatius_saba	caribbean	0.0	0.0	0.0
25	saint_kitts_and_nevis	caribbean	0.0	0.0	0.0
26	antigua_and_barbuda	caribbean	0.0	0.0	0.0
27	montserrat	caribbean	0.0	0.0	0.0
28	guadeloupe	caribbean	1.0	1.0	1.0
29	dominica	caribbean	0.0	0.0	0.0
30	martinique	caribbean	3.0	3.0	0.0
31	saint_lucia	caribbean	0.0	0.0	0.0
32	saint_vincent_and_the_grenadines	caribbean	0.0	0.0	0.0
33	barbados	caribbean	0.0	0.0	0.0
34	grenada	caribbean	0.0	0.0	0.0
35	trinidad_and_tobago	caribbean	0.0	0.0	0.0
36	curacao	caribbean	0.0	0.0	0.0
37	aruba	caribbean	0.0	0.0	0.0
38	french_guiana	south_america	1.0	1.0	0.0
39	suriname	south_america	3.0	3.0	0.0
40	guyana	south_america	0.0	0.0	0.0
41	venezuela	south_america	9.0	5.0	0.0
42	colombia	south_america	13.0	13.0	0.0
43	ecuador	south_america	2.0	2.0	0.0
44	peru	south_america	2.0	2.0	0.0
45	bolivia	south_america	0.0	0.0	0.0
46	brazil	south_america	107.0	84.0	0.0
47	paraguay	south_america	0.0	0.0	0.0
48	uruguay	south_america	0.0	0.0	0.0
49	argentina	south_america	0.0	0.0	0.0
50	chile	south_america	0.0	0.0	0.0
