country	suitability_score
anguilla	0.0269193538999
antigua_barbuda	0.540756425677
aruba	0.546931805296
bahamas	0.83971909095
barbados	0.981560404454
belize	0.804038059215
bermuda	0.0997563110907
british_virgin_islands	0.550058305264
canada	0.0
cayman_islands	0.305684872765
costa_rica	0.864093419316
cuba	0.878205230078
curacao	0.643752662414
dominica	0.650753268408
dominican_republic	0.895871517796
el_salvador	0.950706376279
greenland	0.0
grenada	0.897331296021
guadeloupe	0.809569528434
guatemala	0.450046876928
haiti	0.926644006465
honduras	0.863965033278
jamaica	0.898899334178
martinique	0.869582540819
mexico	0.306216470124
montserrat	0.799961919502
nicaragua	0.892162151455
panama	0.921726049343
puerto_rico	0.952846921639
saint_kitts_nevis	0.199813827357
saint_lucia	0.943525642977
saint_pierre_miquelon	0.0
saint_vincent_grenadines	0.720202822603
sint_maarten	0.688759312384
trinidad_tobago	0.968913133274
turks_caicos_islands	0.1217979408
united_states	0.208427240631
united_states_virgin_islands	0.535347058929
argentina	0.370594756244
bolivia	0.380692735446
brazil	0.649572731578
chile	0.0
colombia	0.613870504386
ecuador	0.55923784291
falkl_islands	0.0
french_guiana	0.893181224069
guyana	0.791691498127
paraguay	0.957577587256
peru	0.399651442696
suriname	0.961076158942
uruguay	0.0497532079307
venezuela	0.876832171102
