label	fix
antiguaand_barbuda	antigua_barbuda
bahamas_the	bahamas
dominican_rep	dominican_republic
st_barthelemy	saint_barthelemy
st_kitts_nevis	saint_kitts_nevis
st._kittsand_nevis	saint_kitts_nevis
st._kitts_nevis	saint_kitts_nevis
st_lucia	saint_lucia
st._lucia	saint_lucia
st_martin	saint_martin
st._martin(_frenchpart)	saint_martin
st_maarten(_dutch_part)	sint_maarten
sint_maarten(_dutchpart)	sint_maarten
st_vincent_grenad	saint_vincent_grenadines
st._vincentandthe_grenadines	saint_vincent_grenadines
st._vincentgrenadines	saint_vincent_grenadines
saint_vincentgrenadines	saint_vincent_grenadines
trinidadand_tobago	trinidad_tobago
turks_caicos	turks_caicos_islands
turksand_caicos_islands	turks_caicos_islands
venezuela,rb	venezuela
virgin_islands(gb)	british_virgin_islands
virgin_islands(us)	united_states_virgin_islands
virgin_islands(u.s.)	united_states_virgin_islands
virgin_islands	united_states_virgin_islands
